code,name,mapped_to,type,resolution,climate,ozone,radiation,photo_ox,pm,ht_nc,ht_c,acid,e_fw,e_m,e_t,ecotox,land,water,energy,mater,cc_bio,cc_fos,cc_luc
1,Jus de betterave,"Beetroot juice, pure juice",,mapped,-0.0429,0.0853,0.0258,-0.0338,-1.1513,1.155,-0.3662,-0.0652,-0.2246,-0.2478,0.1967,4.9325,-0.0396,7.3872,0.7169,-0.1118,-0.0143,-0.0177,0.0
1000,Pastis,Pastis (anise-flavoured spirit),,mapped,-0.0526,-0.0822,-0.0657,-0.0174,-1.4107,0.7325,-11.1351,10.8042,-0.2433,-0.3408,22.9343,9.1273,-1.1552,-48.7056,-0.457,-0.0252,0.0544,0.2012,0.0016
10001,"Calmar ou calamar ou encornet, cru","Squid, raw",,mapped,0.0152,0.1459,0.0067,0.1489,0.3282,0.7566,-1.4917,0.0585,0.0279,-0.1334,-0.0861,14.5507,0.0331,-17.3502,0.7799,-0.1923,0.1054,0.0748,-0.0763
10002,"Calmar ou Calamar ou encornet, à la romaine (beignet)","Squid fritter, Roman-style",,mapped,-0.0216,0.0903,0.114,-0.2932,0.2246,0.7002,-1.6361,0.2034,-0.0172,-0.1054,-0.0241,15.5459,-0.0121,14.5384,0.8515,-0.0694,-0.0503,-0.0,0.0767
10003,"Coquille Saint-Jacques, noix et corail, crue","Scallop, with coral, raw",,mapped,-0.0334,-0.1067,-0.0085,-0.1501,0.0845,0.9364,-2.7994,0.1418,-0.1285,0.0298,-0.0286,10.2304,0.0762,-3.6016,0.5052,-0.0279,-0.0291,0.0265,-0.1369
10004,"Coquille Saint-Jacques, noix et corail, cuite","Scallop, with coral, cooked",,mapped,-0.0016,0.0793,-0.0619,0.0435,-0.0081,0.8759,-2.7485,0.1078,-0.1385,-0.0514,-0.0086,10.1523,0.0582,0.6861,0.5792,0.0259,0.2432,-0.3828,-0.0511
10007,"Crevette, cuite","Shrimp or prawn, cooked",,mapped,-3.6472,-0.0087,0.0963,-0.012,-0.0211,2.2578,-2.5887,-0.0335,0.4115,0.2448,-0.0248,9.4531,-0.0585,-97.377,0.8364,-0.1115,0.0842,-3.8758,0.357
10009,"Homard, bouilli/cuit à l'eau","Lobster, boiled/cooked in water",,mapped,-0.115,-0.0596,-0.0749,-0.0349,0.1186,0.7018,-1.3108,0.1062,-0.0443,-0.1916,0.1426,19.9249,-0.0211,33.4543,0.7599,-0.0018,0.0658,-0.1152,-0.2564
1001,Eau de vie,Clear fruit brandy or eau-de-vie,,mapped,0.2009,-0.0583,-0.0022,0.0278,-0.959,1.0976,-11.3345,10.9584,-0.1247,-0.2822,23.3401,9.4528,-0.8684,-49.1906,-0.6154,-0.0438,-0.0335,-0.3426,-0.2276
10011,"Huître, sans précision, crue","Oyster, raw",,mapped,-0.0209,0.3377,0.0309,-0.1348,-0.217,1.4196,-5.7078,0.1894,-0.0385,-0.299,0.0838,15.1725,0.1413,-11.0884,0.9054,-0.146,-0.0214,-0.0203,-0.0169
10013,"Moule, bouillie/cuite à l'eau","Mussel, boiled/cooked in water",,mapped,0.0319,0.0125,0.1942,-0.0377,0.1345,1.3577,-7.2175,0.4036,-0.0332,0.0676,0.4799,14.8511,-0.0171,-3.9393,1.3556,-0.0045,-0.2882,0.0034,0.0204
10014,"Moule commune, crue","Mussel, common, raw",,mapped,-0.0209,0.3377,0.0309,-0.1348,-0.217,1.4196,-5.7078,0.1894,-0.0385,-0.299,0.0838,15.1725,0.1413,-11.0884,0.9054,-0.146,-0.0214,-0.0203,-0.0169
1002,Gin,Gin,,mapped,-0.0526,-0.0822,-0.0657,-0.0174,-1.4107,0.7325,-11.1351,10.8042,-0.2433,-0.3408,22.9343,9.1273,-1.1552,-48.7056,-0.457,-0.0252,0.0544,0.2012,0.0016
10021,"Crevette, crue","Shrimp or prawn, raw",,mapped,-4.0581,0.0234,-0.0606,0.0219,-0.429,2.3425,-2.0304,0.3053,0.0132,0.2496,0.1806,9.3003,-0.137,-97.5818,0.9219,0.0383,0.0824,-3.9755,-0.0787
10023,Beignet de crevette,Shrimp fritters,,mapped,-3.4178,-0.1356,-0.0973,-0.035,-0.4247,2.1275,-1.9291,0.2166,0.0242,-0.0865,-0.1116,8.8244,-0.193,-97.0797,1.1774,0.0592,0.2655,-3.7351,-0.158
10024,"Langoustine, crue","Norway lobster, raw",,mapped,-0.0114,0.1275,-0.0437,-0.0843,-0.0043,0.831,-1.2602,-0.0082,0.03,0.2909,-0.2642,19.8034,0.019,24.9775,0.711,-0.019,-0.0125,-0.0312,-0.3534
