method,alignment,sp_count,ef_count,sp_min,ef_min,sp_max,ef_max,sp_mean,ef_mean,sp_median,ef_median,sp_std,ef_std,sp_sum,ef_sum,diff_count,diff_min,diff_max,diff_mean,diff_median,diff_std,diff_sum
Acidification,both,57,57,0.74,0.74,3.02,3.02,1.3956161403508773,1.3956161403508773,1.13467,1.13467,0.7856578982832394,0.7856578982832394,79.55012,79.55012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate change - Biogenic,both,5,18,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,0.0,135.0,135.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Climate change - Fossil,both,717,1280,0.004,0.004,25200.0,25200.0,2760.689610878661,2762.5445620641563,568.0,568.0,4582.529064997036,4582.189927202798,1979414.451,1980744.451,0.43984375,0.0,0.5135135135135135,0.0007161973689170342,0.0,0.019177513584448854,0.0006714647108204874
Climate change - Land use and LU change,both,14,26,-1.0,-1.0,29.8,29.8,10.714285714285714,10.714285714285714,1.0,1.0,14.785796570350216,14.785796570350216,150.0,150.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0
Climate change,both,736,1324,-1.0,-1.0,25200.0,25200.0,2689.8280584239133,2691.616101902174,539.0,539.0,4543.839818237622,4543.546030461689,1979713.4510000001,1981029.451,0.44410876132930516,-0.09395973154362418,0.5135135135135135,5.939518450460948e-05,0.0,0.02046519154873177,0.0006643010780760811
"Ecotoxicity, freshwater",both,49022,81594,0.0,0.0,4025200000.0,4025200000.0,1405967.0494023059,1406467.8578070977,37.331,36.281,59800947.76725812,59800767.99576642,68923316695.79984,68947867325.41954,0.3991960193151457,-1.0,0.9999999986754322,-0.004214866228762419,0.0,0.13537702116580674,0.0003560752576121224
"Resource use, fossils",both,8,13,9.41,1.0,560000.0,560000.0,140017.64125,70017.07125000001,34.5,22.88,259218.73985279407,197983.00162602167,1120141.13,560136.5700000001,0.38461538461538464,-0.9999982142857143,0.041666666666666664,-0.22619969620350788,0.0,0.4471719522146075,-0.49994107438943863
"Eutrophication, freshwater",both,33,42,0.0,0.0,1.0,1.0,0.3455757575757576,0.3455757575757576,0.32,0.32,0.39688939188889816,0.39688939188889816,11.404,11.404,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0
"Eutrophication, marine",both,73,81,0.028,0.028,0.824,0.824,0.32852054794520547,0.32852054794520547,0.304,0.304,0.25495076374278414,0.25495076374278414,23.982,23.982,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0
"Eutrophication, terrestrial",both,51,51,3.16065,3.16065,13.47,13.47,6.9471960784313715,6.9471960784313715,4.26,4.26,4.1976857474427876,4.1976857474427876,354.30699999999996,354.30699999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Human toxicity, cancer",both,6106,14188,0.0,0.0,145.27,145.27,0.20969222844756646,0.22063563251192736,2.36295e-08,2.24575e-08,4.277550753386134,4.612542844148813,1280.380746900841,1347.2011721178285,0.5696363123766564,-1.0,0.9927078505623693,0.004850907622924991,0.0,0.08788451807789127,0.049599441122771946
"Human toxicity, non-cancer",both,29540,45600,0.0,0.0,19.983,19.983,0.003072410431794252,0.003088783078882576,9.4113e-08,9.36105e-08,0.1926362520795273,0.1926452177374516,90.7590041552022,91.2426521501913,0.35219298245614034,-0.9999999999999999,0.9999999822061288,0.002497374334779343,0.0,0.12966991263154237,0.005300678833764967
Ionising radiation,both,352,384,3.29e-06,3.29e-06,44.3,44.3,2.4194656573579545,2.4194656573579545,0.0714,0.0714,7.527853245678815,7.527853245678815,851.65191139,851.65191139,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Land use,both,141,313,-7021.9,-7021.9,7021.9,7021.9,19.478553191489386,19.478553191489386,50.191,50.191,2360.5889374294516,2360.5889374294516,2746.4760000000033,2746.4760000000033,0.549520766773163,0.0,0.0,0.0,0.0,0.0,0.0
"Resource use, minerals and metals",both,174,174,1.4e-11,1.4e-11,52.0,52.0,5.688798165791081,5.688798102164937,0.00137,0.00137,15.701595793392721,15.701595816578145,989.850880847648,989.8508697766991,0.0,-0.9626912127553823,0.0,-0.005532708119283806,0.0,0.0729814324960457,-1.1184461288375705e-08
Ozone depletion,both,175,199,0.0,0.01,15.7,15.7,2.0587142857142857,2.0652285714285714,0.5,0.5,4.3757689214046,4.373107499287938,360.275,361.41499999999996,0.12060301507537688,0.0,1.0,0.011428571428571429,0.0,0.10659685728753751,0.0031542686385456786
Particulate matter,both,58,110,0.0,0.0,0.000238497,0.000238497,1.7723078793103447e-05,1.7723078793103447e-05,1.6e-06,1.6e-06,5.2404275268394845e-05,5.2404275268394845e-05,0.0010279385699999998,0.0010279385699999998,0.4727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
Photochemical ozone formation,both,644,991,-0.155,-0.155,1.9,1.9,0.6916732142857143,0.6916732142857143,0.652,0.652,0.5505645633337003,0.5505645633337003,445.43755,445.43755,0.3501513622603431,0.0,0.0,0.0,0.0,0.0,0.0
Water use,both,2,16,-42.955,-42.95,42.95,37.8,-0.0024999999999977263,-2.575000000000003,-0.0024999999999977263,-2.575000000000003,60.74400803783037,57.09887258081371,-0.0049999999999954525,-5.150000000000006,0.875,-0.11990686845168813,0.00011640088464661746,-0.059895233783520754,-0.059895233783520754,0.08486926764790172,-0.9990291262135931
